MON,3753.91
TUE,2407.27
WED,4412.43
THU,4712.59
FRI,3907.45
SAT,4558.59
SUN,3940.62
MON,2774.37
TUE,2475.23
WED,4757.95
THU,3923.96
FRI,2851.85
SAT,2302.74
SUN,3057.06
MON,3450.68
TUE,4957.94
WED,4749.74
THU,2019.53
FRI,3464.63
SAT,4160.4
SUN,2493.99
MON,2029.73
TUE,3675.22
WED,2447.86
THU,2075.8
FRI,2072.77
SAT,4905.22
SUN,3255.31
MON,4555.67
TUE,2909.33
WED,2057.01
THU,4686.39
FRI,4875.26
SAT,3955.34
SUN,4108.72
MON,2274.04
TUE,3529.1
WED,4808.67
THU,3875.56
FRI,3180.93
SAT,2163.17
SUN,4203.09
MON,4473.54
TUE,4598.52
WED,4583.97
THU,2736.91
FRI,4130.79
SAT,3590.91
SUN,3107.08
MON,3293.52
TUE,4619.37
WED,2203.65
THU,3241.48
FRI,3269.48
SAT,4954.62
SUN,2869.75
MON,3632.56
TUE,2438.65
WED,3893.85
THU,4625.4
FRI,3265.22
SAT,3241.75
SUN,2492.75
MON,4958.39
TUE,2649.65
WED,4201.99
THU,4198.55
FRI,2219.14
SAT,3591.15
SUN,4398.3
MON,3679.72
TUE,2726.25
WED,4352.68
THU,2224.74
FRI,2892.75
SAT,2130.64
SUN,2862.19
MON,4797.6
TUE,3700.54
WED,3145.4
THU,4766.42
FRI,2118.79
SAT,3506.52
SUN,4450.16
MON,2765.76
TUE,4056.5
WED,4079.07
THU,2357.2
FRI,3718.02
SAT,2892.71
SUN,4000.54
MON,2863.76
TUE,3357.71
WED,3965.15
THU,2116.1
FRI,3832.13
SAT,4566.51
SUN,2565.51
MON,4715.52
TUE,3194.61
WED,3848.7
THU,4515.1
FRI,3717.1
SAT,3458.88
SUN,3385.96
MON,4365.4
TUE,2359.76
WED,2375.9
THU,3987.64
FRI,4646.07
SAT,2065.44
SUN,2094.98
MON,4550.11
TUE,2943.07
WED,4847.02
THU,2449.8
FRI,3714.32
SAT,4528.36
SUN,2926.15
MON,2299.93
TUE,4536.74
WED,3260.05
THU,4380.02
FRI,3974.81
SAT,4364.67
SUN,2775.67
MON,4303.79
TUE,4737.73
WED,4523.32
THU,4333.58
FRI,4881.98
SAT,4980.54
SUN,4805.98
MON,4441.83
TUE,3780.1
WED,3388.73
THU,2228.32
FRI,3903.92
SAT,3923.7
SUN,4148.25
MON,4740.31
TUE,4735.0
WED,2301.7
THU,3700.09
FRI,3092.12
SAT,2752.43
SUN,4219.23
MON,3696.53
TUE,3878.16
WED,2855.18
THU,3932.46
FRI,4557.08
SAT,4686.87
SUN,3902.36
MON,2675.19
TUE,4037.75
WED,4817.33
THU,4815.4
FRI,2820.24
SAT,2349.28
SUN,4993.92
MON,4856.99
TUE,4340.69
WED,2642.81
THU,2206.79
FRI,2704.61
SAT,2241.03
SUN,4624.83
